datetime,data_fname,reg_type,wd,iter,loss,acc,prec,rec,f1
20170921_013650,./1-11-PM1.p,vanilla,None,2999,0.0005154508980922401,1.0,1.0,1.0,1.0,
20170921_013717,./1-11-PM1.p,vanilla,None,2999,0.0007444936200045049,1.0,1.0,1.0,1.0,
20170921_013745,./1-11-PM1.p,vanilla,None,2999,0.0005694197025150061,1.0,1.0,1.0,1.0,
20170921_013813,./1-11-PM1.p,vanilla,None,2999,0.0016781793674454093,1.0,1.0,1.0,1.0,
20170921_013840,./1-11-PM1.p,vanilla,None,2999,0.000510860001668334,1.0,1.0,1.0,1.0,
20170921_013908,./1-11-PM1.p,vanilla,None,2999,0.0004987774300388992,1.0,1.0,1.0,1.0,
20170921_013935,./1-11-PM1.p,vanilla,None,2999,0.0009067365317605436,1.0,1.0,1.0,1.0,
20170921_014002,./1-11-PM1.p,vanilla,None,2999,0.0007808009977452457,1.0,1.0,1.0,1.0,
20170921_014030,./1-11-PM1.p,vanilla,None,2999,0.0008730358676984906,1.0,1.0,1.0,1.0,
20170921_014057,./1-11-PM1.p,vanilla,None,2999,0.000689137727022171,1.0,1.0,1.0,1.0,
20170921_020216,./1-11-PM1.p,vanilla,None,2999,0.0001800300378818065,1.0,1.0,1.0,1.0,
20170921_020243,./1-11-PM1.p,vanilla,None,2999,0.00011500121036078781,1.0,1.0,1.0,1.0,
