datetime,data_fname,reg_type,wd,iter,loss,acc,prec,rec,f1
20170921_001033,./1-11-PM2.p,l1,0.01,2999,0.41512352228164673,0.9577465057373047,0.5,1.0,0.6666666666666666,
20170921_001037,./1-11-PM2.p,vanilla,None,2999,0.4333587884902954,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001044,./1-11-PM2.p,group2,0.01,2999,0.43100476264953613,0.9295774698257446,0.3333333333333333,0.6666666666666666,0.4444444444444444,
20170921_001046,./1-11-PM2.p,group1,0.01,2999,0.4086330831050873,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001133,./1-11-PM2.p,l1,0.01,2999,0.39886537194252014,0.9436619281768799,0.4,0.6666666666666666,0.5,
20170921_001137,./1-11-PM2.p,vanilla,None,2999,0.4491780400276184,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001143,./1-11-PM2.p,group2,0.01,2999,0.38117682933807373,0.9436619281768799,0.4,0.6666666666666666,0.5,
20170921_001145,./1-11-PM2.p,group1,0.01,2999,0.4174919128417969,0.9577465057373047,0.5,0.6666666666666666,0.5714285714285714,
20170921_001229,./1-11-PM2.p,l1,0.01,2999,0.4333822727203369,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001236,./1-11-PM2.p,vanilla,None,2999,0.41050541400909424,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001244,./1-11-PM2.p,group2,0.01,2999,0.3993932008743286,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001245,./1-11-PM2.p,group1,0.01,2999,0.3986688554286957,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001328,./1-11-PM2.p,l1,0.01,2999,0.40958839654922485,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001336,./1-11-PM2.p,vanilla,None,2999,0.441012978553772,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001345,./1-11-PM2.p,group1,0.01,2999,0.3996163606643677,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001344,./1-11-PM2.p,group2,0.01,2999,0.3972015976905823,0.9295774698257446,0.3333333333333333,0.6666666666666666,0.4444444444444444,
20170921_001429,./1-11-PM2.p,l1,0.01,2999,0.43730810284614563,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001436,./1-11-PM2.p,vanilla,None,2999,0.4068574905395508,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001445,./1-11-PM2.p,group1,0.01,2999,0.44370976090431213,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001446,./1-11-PM2.p,group2,0.01,2999,0.40554022789001465,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001529,./1-11-PM2.p,l1,0.01,2999,0.4266917109489441,0.9436619877815247,0.4,0.6666666666666666,0.5,
20170921_001535,./1-11-PM2.p,vanilla,None,2999,0.4055060148239136,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001545,./1-11-PM2.p,group1,0.01,2999,0.44453850388526917,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001546,./1-11-PM2.p,group2,0.01,2999,0.4114030599594116,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001628,./1-11-PM2.p,l1,0.01,2999,0.40532588958740234,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001635,./1-11-PM2.p,vanilla,None,2999,0.4071838855743408,0.9436619877815247,0.42857142857142855,1.0,0.6,
20170921_001645,./1-11-PM2.p,group1,0.01,2999,0.432079553604126,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001647,./1-11-PM2.p,group2,0.01,2999,0.41468700766563416,0.9154930114746094,0.2,0.3333333333333333,0.25,
20170921_001728,./1-11-PM2.p,l1,0.01,2999,0.40750694274902344,0.9436619877815247,0.42857142857142855,1.0,0.6,
